GeneSymbol	cohort1_rep1	cohort1_rep2	cohort2_rep1	cohort2_rep2
LOC101929058	0	0	0	0
C12orf42	0	6	7	8
ASCL1	108	111	0	1
PAH	5	3	1	0
LINC00485	0	0	0	0
IGF1	0	0	9	7
LOC100418882	0	0	0	0
RN7SL793P	0	0	0	0
PMCH	0	0	0	0
PARPBP	191	232	438	426
NUP37	477	581	669	672
WASHC3	191	225	279	284
NENFP2	0	0	0	0
RPL9P24	0	0	0	0
DRAM1	611	832	4802	5138
HSPE1P4	23	26	51	48
RNU6-1183P	0	0	0	0
RNA5SP369	0	0	0	0
RNU6-172P	1	2	0	1
RNA5SP368	0	0	0	0
ST13P22	1	1	1	4
RNU6-101P	1	0	0	0
GNPTAB	1664	2085	2054	2110
SYCP3	0	1	2	0
RNY1P16	5	1	2	0
CHPT1	451	567	637	682
MYBPC1	0	2	0	0
SPIC	0	0	0	0
RNA5SP367	0	0	0	0
RNU5E-5P	0	0	0	0
RPS27P23	0	0	2	4
RNU6-1068P	0	0	0	0
ARL1	1157	1420	1316	1601
UTP20	1050	1305	1045	1132
SNX5P2	1	3	1	1
PIGAP1	2	14	12	8
GAS2L3	131	161	323	343
NR1H4	0	1	0	0
SLC17A8	0	0	0	0
SCYL2	1481	1895	3647	3793
DEPDC4	34	55	69	58
ACTR6	617	767	626	612
MIR1827	0	0	0	0
RN7SL176P	0	0	0	2
GOLGA2P5	71	104	200	226
DNM1P19	0	1	0	0
UHRF1BP1L	434	502	1017	1177
RPS4XP1	6	3	6	4
FAM71C	0	0	0	0
LOC101928937	0	0	3	0
RNA5SP366	0	0	0	0
ANKS1B	75	107	76	83
APAF1	294	369	575	665
IKBIP	119	164	330	354
SNORA53	2	11	5	6
SLC25A3	4753	6017	9441	9966
PPIAP8	1	3	1	3
TMPO	2806	3438	3949	3938
TMPO-AS1	29	45	53	65
TRW-CCA4-1	0	0	0	0
TRD-GTC1-1	0	0	1	0
LINC02453	1	2	0	1
SLC9A7P1	3	4	3	3
RNU4-41P	0	0	0	0
LOC100131529	0	0	0	0
MIR4303	0	0	0	0
MIR4495	0	0	0	0
RNU6-36P	0	0	0	0
PAFAH1B2P2	0	0	0	0
MIR135A2	0	0	0	0
MIR1251	0	0	0	0
RMST	5	9	1	0
TRQ-TTG9-1	0	1	0	0
NEDD1	713	822	933	1096
EEF1A1P33	0	0	0	0
CFAP54	0	1	1	2
RN7SKP11	0	0	0	0
RNU4-24P	1	0	1	0
CDK17	555	588	866	947
ELK3	194	258	889	929
RN7SL88P	0	0	0	0
YPEL5P3	0	0	0	0
TRD-GTC2-8	0	0	0	0
LTA4H	1463	1921	2307	2495
HAL	1	3	6	3
AMDHD1	0	0	15	15
CCDC38	0	1	0	0
SNRPF	829	1088	1113	1182
LINC02410	0	0	0	0
LOC105369921	0	0	0	0
RNU6-247P	0	0	0	0
NTN4	15	14	459	547
PGAM1P5	0	0	1	0
USP44	0	0	0	0
METAP2	2128	2637	4106	4282
RPL29P26	0	0	0	2
RNU6-735P	0	0	0	0
MIR3685	0	0	0	1
MIR331	0	0	0	0
RNU6-808P	0	0	1	0
CBX3P5	0	0	0	0
VEZT	1043	1328	2672	2902
RPL14P4	24	22	33	48
LOC100287148	0	1	2	0
FGD6	192	221	1990	2172
NR2C1	338	402	1046	1043
NDUFA12	592	777	1132	1160
KRT19P2	0	2	0	0
MIR492	0	0	0	0
LSM3P2	1	0	0	0
MIR7844	0	0	0	0
TMCC3	21	28	82	100
MIR5700	0	0	0	0
SUCLG2P2	48	48	48	50
NSA2P2	7	6	9	12
RN7SL483P	0	0	0	0
CEP83-DT	12	28	2	3
RBMS2P1	0	6	20	26
RN7SL330P	0	0	0	0
CEP83	265	373	281	312
PLXNC1	0	1	152	155
LOC441644	0	0	0	0
RN7SKP263	0	0	0	0
LOC105369911	1	0	0	0
RN7SL630P	0	0	1	0
LOC101928731	0	0	0	4
CRADD	128	173	122	150
LOC642969	58	77	69	89
SOCS2	150	204	1887	1944
SOCS2-AS1	10	9	54	51
RN7SL737P	0	0	0	0
MRPL42	1425	1939	1982	2177
UBE2N	1189	1460	1925	1927
NUDT4	591	736	395	437
LINC02412	0	0	0	0
RPL41P5	0	2	4	1
LOC100127919	0	0	0	0
LOC643339	0	1	0	0
RNU6-1329P	0	0	0	0
HNRNPA1P50	0	3	3	4
LOC100287544	1	5	1	1
EEA1	916	1070	1171	1230
PLEKHG7	0	0	0	0
LOC100132126	0	0	0	0
LINC02397	0	0	0	0
CLLU1	0	0	0	0
CLLU1-AS1	0	0	0	0
RPL21P106	0	0	0	1
LOC101928617	1	1	1	0
BTG1	1451	1713	1319	1419
LINC01619	1	2	0	3
DCN	0	0	0	0
LUM	0	0	0	0
KERA	0	0	0	0
EPYC	0	0	0	0
CCER1	1	0	0	0
LINC00615	0	0	0	0
LINC02392	0	0	0	0
LINC02399	0	1	0	0
BRWD1P2	1	0	0	1
RNU6-148P	0	0	0	0
MRPL2P1	1	0	0	0
RNA5SP365	0	0	0	0
ATP2B1-AS1	52	84	27	44
ATP2B1	2351	2848	3295	3554
POC1B-AS1	30	46	34	29
GALNT4	8	9	12	12
POC1B-GALNT4	0	0	0	0
CENPCP1	7	13	10	11
POC1B	444	556	1082	1047
DUSP6	27	23	2950	3094
MRPS6P4	0	0	0	0
RNU7-120P	0	0	0	0
LOC100287355	0	0	0	0
LINC02458	0	0	0	1
RNU1-117P	0	0	0	0
KITLG	5020	6249	73	56
TMTC3	2309	2762	819	889
LOC100420011	1	7	1	0
RNA5SP364	0	0	0	0
CEP290	591	742	301	312
C12orf29	257	308	284	352
C12orf50	0	0	0	0
RPS4XP15	0	0	0	0
GADD45AP1	0	0	0	0
MKRN9P	12	7	8	11
LINC02258	0	0	0	0
CYCSP30	0	0	0	0
LOC105369879	0	0	0	0
RPL23AP68	2	0	0	0
MIR3059	0	0	0	0
MGAT4C	0	0	0	0
NTS	0	0	8	7
RASSF9	1	0	3	2
LOC100129589	0	0	0	0
ALX1	0	0	0	0
LRRIQ1	1	0	1	0
TSPAN19	0	0	0	0
SLC6A15	0	0	0	0
LOC100128335	0	0	0	0
RPL6P25	0	0	2	1
RNU6-977P	0	0	1	0
TMTC2	71	90	647	695
LOC100418732	0	0	0	0
LOC100421061	5	3	0	2
METTL25	178	223	181	168
CCDC59	558	778	1014	1073
LINC02426	0	0	0	0
VN1R57P	0	0	0	0
PPFIA2-AS1	0	0	0	1
PPFIA2	0	0	2	2
MIR4699	0	0	0	1
ACSS3	299	380	1496	1634
MIR618	0	0	0	0
LOC100420442	4	1	0	0
MIR617	0	0	0	0
LIN7A	443	581	35	43
LINC01490	0	0	0	0
MYF5	0	0	0	0
MYF6	0	0	0	0
AKIRIN1P1	0	0	0	0
PTPRQ	41	58	17	16
RN7SKP261	0	0	0	0
RPL26P32	1	6	4	7
OTOGL	23	21	1	2
RNU7-106P	0	0	0	0
RPL7P38	0	1	0	0
HSPD1P20	0	0	0	0
SNRPGP20	0	0	0	0
PPP1R12A-AS1	9	16	25	29
RNA5SP363	0	0	0	1
PPP1R12A	1806	2276	2652	2815
PAWR	3648	4604	3477	3669
NOP56P3	2	0	1	0
MIR1252	0	0	0	0
LOC100420794	0	3	1	2
SYT1	391	512	276	301
LOC642550	3	2	6	5
MRPL11P3	0	0	0	0
LINC02424	0	0	0	0
PRXL2AP1	0	0	0	0
NAV3	1	0	2	2
E2F7	68	104	129	108
LOC727803	3	2	6	4
CSRP2	8	8	10	16
ZDHHC17	391	484	480	537
RWDD1P3	5	4	8	7
RPL7P43	0	0	0	0
RPL21P98	0	4	5	3
YWHAQP7	0	0	0	2
RPL7AP9	0	1	0	0
OSBPL8	1746	2092	3627	3790
BBS10	453	606	327	337
RN7SKP172	0	0	0	0
LNCOG	0	0	0	0
RNU6-1271P	0	0	0	0
LOC641695	1	1	1	5
LOC100652897	8	7	9	10
NAP1L1	4197	5249	9319	9614
PHLDA1	89	102	5243	5607
LOC100289143	0	0	0	0
RN7SL734P	0	0	0	0
RPL10P13	0	2	0	0
PGDP2	0	0	0	0
KRR1	1316	1585	2177	2236
GLIPR1	1	2	1	4
GLIPR1L2	1	1	1	2
GLIPR1L1	0	0	0	0
LOC100419702	0	0	0	0
CAPS2	8	6	3	10
CCNG2P1	0	0	0	0
LOC100130268	0	0	0	0
KCNC2	0	0	0	0
LOC100128673	0	0	0	0
LOC387869	0	1	2	0
ATXN7L3B	2811	3445	4572	4779
VENTXP3	0	0	0	0
LOC100128674	0	0	0	0
LINC02882	2	0	12	22
RNU6-1012P	0	0	0	1
RPL31P48	0	0	1	1
LINC02444	0	0	0	0
CHCHD3P2	0	0	0	0
H3P35	0	0	0	0
TRHDE	0	0	0	0
TRHDE-AS1	0	0	0	0
TPH2	0	0	0	0
MRS2P2	2	0	1	0
TBC1D15	439	559	634	635
RAB21	1890	2217	2031	2134
TMEM19	259	295	286	265
THAP2	39	58	79	116
ZFC3H1	603	756	1336	1332
LGR5	0	0	0	0
TSPAN8	0	0	148	148
FAHD2P1	0	0	0	0
PTPRR	1	3	0	1
PTPRB	15	9	579	664
RNU4-65P	0	0	0	0
KCNMB4	33	26	372	357
CNOT2	949	1255	1983	2146
PRANCR	17	15	32	28
LOC100125409	0	0	0	1
MYRFL	3	0	12	18
RAB3IP	361	476	972	1006
LOC101928002	0	0	0	1
BEST3	0	0	0	0
LRRC10	0	0	0	0
CCT2	2610	3280	6273	6710
MIR3913-2	0	0	0	0
MIR3913-1	0	0	0	0
SNORA113	2	1	1	1
FRS2	1384	1671	1380	1500
RPS26P45	3	0	1	0
RN7SL804P	0	0	0	0
YEATS4	349	479	525	551
LYZ	1	1	1	0
C1GALT1P1	12	11	8	11
MIR1279	0	0	0	0
CPSF6	1277	1620	2197	2291
PRELID2P1	0	0	0	0
RNU7-4P	0	0	0	0
CPM	41	54	3	11
MDM2	6374	8015	3925	4027
LOC100130075	1	0	0	0
LOC100422438	0	0	0	0
SLC35E3	165	220	200	205
KRT8P39	66	66	29	24
NUP107	821	1017	1292	1323
RPL7P42	0	0	0	0
LOC100507250	5	1	1	2
ATP5PDP4	9	6	10	9
SNORA70G	0	0	0	0
RPL10P12	2	3	2	1
RAP1B	387	519	841	862
RPSAP12	44	45	55	67
PSMC6P2	0	1	1	0
LINC02384	0	0	0	0
MDM1	168	174	162	160
IL22	0	0	0	0
IL26	0	0	0	0
IFNG	0	0	0	0
HNRNPA1P70	0	0	1	0
RPL39P28	0	0	0	0
IFNG-AS1	0	0	0	0
LINC01479	0	0	0	0
LINC02421	0	0	0	0
DYRK2	596	776	1003	1089
LINC02408	0	1	0	0
LINC02420	0	0	0	0
NTAN1P3	0	0	0	0
MRPL40P1	0	0	0	1
CAND1	4441	5350	5612	6052
GGTA2P	2	2	0	1
RAB11AP2	0	0	0	0
LOC102724421	0	0	0	0
OSBPL9P5	0	0	0	0
OSBPL9P4	2	0	5	0
GRIP1	175	185	623	683
HELB	123	198	131	131
RN7SKP166	0	0	0	0
MIR6502	0	0	0	0
RBMS1P1	45	53	97	113
IRAK3	0	1	0	0
TMBIM4	458	559	746	848
LLPH-DT	4	8	3	5
LLPH	391	469	663	712
RNA5SP362	0	0	0	0
RPL21P18	0	0	1	3
LINC02425	0	0	0	0
MIR6074	0	0	0	0
HMGA2-AS1	0	0	0	1
HMGA2	0	0	397	394
RPSAP52	0	0	3	2
PCNPP3	6	5	10	7
LINC02454	0	0	1	1
LOC105369187	0	0	0	0
LOC100507065	0	0	0	0
KRT18P60	1	2	0	0
MSRB3	4	8	126	157
LEMD3	779	928	1684	1863
APOOP3	0	0	0	0
RNU6-166P	0	0	0	0
WIF1	0	0	0	0
RNU6ATAC42P	0	0	0	1
LINC02231	0	0	0	0
LINC02389	1	3	4	4
RPL7P39	0	0	0	0
TBC1D30	782	1011	1909	1934
GNS	1696	2098	4177	4415
MIR548Z	0	0	0	0
MIR548C	0	1	1	1
RASSF3	406	467	1315	1357
TBK1	533	701	1435	1393
LOC100420899	0	0	0	1
XPOT	5679	7165	13119	14108
RPS11P6	0	0	0	0
ATP6V1E1P3	13	21	19	23
OOEPP2	0	0	0	0
C12orf56	65	83	1	1
RNU5A-7P	0	0	0	0
RNU6-1009P	0	0	0	0
C12orf66	366	529	592	583
LOC100419700	0	0	0	0
RPL36AP41	0	0	0	0
SRGAP1	1005	1304	1010	1023
MIR10527	0	0	0	0
PABPC1P4	24	54	62	65
RXYLT1-AS1	0	0	0	0
RXYLT1	404	487	646	757
RPS27P24	0	0	0	0
LOC100418730	0	0	0	0
S100A11P4	0	0	0	0
DPY19L2	2	0	0	0
HNRNPA1P69	0	0	0	1
AVPR1A	0	0	0	0
RSL24D1P5	0	0	0	0
LDHAL6CP	0	0	0	0
LOC100506911	0	1	0	0
RPL14P1	164	254	277	298
RNU1-83P	0	0	0	0
GAPDHP44	1	3	2	0
RPL32P26	0	0	0	0
PPM1H	600	745	1487	1507
MIRLET7I	1	0	0	2
LINC01465	5	16	11	15
RNU6-399P	0	0	0	0
MON2	1115	1418	1769	1937
RNU6-595P	0	0	0	0
USP15	963	1161	1530	1662
MIR6125	0	0	0	0
KLF17P1	0	2	0	0
RPS3P6	110	149	102	108
KRT8P19	0	1	0	0
RPL21P104	0	0	0	0
TAFA2	0	3	10	7
DUX4L52	0	0	0	0
PGBD3P1	0	1	0	0
SLC16A7	0	2	162	193
RNU4-20P	0	0	0	0
RNU6-871P	0	0	0	0
RNU6-279P	0	0	0	0
LRIG3	81	77	455	476
LOC100506869	0	0	0	0
LINC02388	0	0	0	0
RPL21P103	0	0	0	0
LOC283387	0	0	0	0
MIR26A2	2	4	0	1
CTDSP2	3108	4049	4185	4425
RNU6-1083P	0	0	1	0
AVIL	5	2	23	26
TSFM	506	604	472	522
EEF1AKMT3	178	226	268	311
METTL1	273	353	171	184
CYP27B1	24	28	26	30
MARCHF9	253	290	380	391
MIR6759	0	0	0	1
CDK4	2058	2612	2812	3140
TSPAN31	407	548	327	347
AGAP2-AS1	235	306	115	127
AGAP2	86	123	8	9
OS9	2516	3174	2360	2412
RPL13AP23	1	1	0	0
B4GALNT1	54	51	179	165
SLC26A10	2	1	16	25
LOC101927583	0	0	0	0
ARHGEF25	49	40	195	216
DTX3	219	301	291	322
PIP4K2C	867	1095	1255	1263
KIF5A	75	65	0	0
DCTN2	791	967	1564	1714
MBD6	1071	1255	1882	2007
MIR616	4	4	11	8
DDIT3	172	210	368	376
MIR6758	4	7	12	6
MARS1	2385	2949	5678	6139
ARHGAP9	1	2	4	2
GLI1	2	1	88	116
INHBE	3	5	90	79
INHBC	2	3	5	5
RNU6-879P	0	0	0	0
R3HDM2	1384	1662	1465	1552
STAC3	27	36	49	59
NDUFA4L2	15	23	41	36
SHMT2	1616	1950	5328	5950
NXPH4	106	141	731	758
MIR1228	0	0	0	0
LRP1-AS	0	0	0	0
LRP1	269	338	961	997
STAT6	931	1141	51	46
NAB2	798	1020	2601	2863
NEMP1	468	576	1089	1092
MYO1A	0	0	1	3
TAC3	0	0	0	0
ZBTB39	358	394	378	409
GPR182	0	0	0	0
LOC390332	4	5	1	1
RDH16	9	10	3	4
LOC100420982	0	0	0	0
SDR9C7	0	0	2	2
YWHAQP3	0	0	0	0
HSD17B6	9	9	7	5
PRIM1	266	323	541	589
NACA	3434	4602	6568	6836
RN7SL809P	2	3	8	6
PTGES3	4176	5428	7429	8001
SNORD59A	2	2	2	3
SNORD59B	2	0	4	4
ATP5F1B	7214	8910	11183	11949
BAZ2A	2005	2385	3546	3780
RNU6-343P	0	0	0	0
RBMS2	61	70	801	879
SNORA105C	0	0	0	0
HSPD1P4	7	8	27	34
GLS2	106	120	77	79
SPRYD4	445	491	234	271
MIP	1	2	1	2
TIMELESS	679	847	1052	1082
LOC100128676	0	0	0	1
APONP	0	0	0	0
APOF	0	0	1	0
RNU7-40P	1	0	2	0
STAT2	499	605	669	670
IL23A	3	1	1	0
PAN2	659	900	542	591
CNPY2	499	600	940	987
CS	2362	2871	3560	3728
COQ10A	32	51	42	37
ANKRD52	1133	1369	2048	2266
SLC39A5	0	1	1	0
NABP2	533	621	652	661
RNF41	644	882	1550	1671
TRS-CGA4-1	0	0	0	0
SMARCC2	1898	2358	3756	3865
MYL6	6075	7443	4756	5066
MYL6B	258	326	636	695
ESYT1	1918	2502	3039	3280
ZC3H10	191	209	122	163
RPL41	49	100	120	101
PA2G4	1816	2397	3301	3633
ERBB3	3828	4915	8399	8938
RPS26	140	134	136	158
LOC105369781	0	2	2	5
IKZF4	88	108	157	152
SUOX	292	352	324	368
LOC100131294	93	111	129	125
RAB5B	1769	2226	2974	3098
CDK2	456	604	1392	1417
PMEL	19	23	19	10
DGKA	39	40	57	74
PYM1	478	594	483	528
GSTP1P1	0	0	0	0
RN7SL676P	0	0	1	0
MMP19	0	0	45	46
TMEM198B	87	90	207	236
DNAJC14	847	1114	1373	1526
ORMDL2	241	290	418	418
SARNP	576	733	686	748
GDF11	158	152	703	763
CD63	1727	2203	5301	5412
RDH5	5	1	4	3
BLOC1S1	241	308	269	303
BLOC1S1-RDH5	0	0	0	0
ITGA7	19	24	14	15
METTL7B	26	27	73	77
PSMB3P1	0	0	0	0
OR10AE3P	0	0	0	0
OR10P1	0	0	0	0
OR6U2P	0	0	0	0
LOC100418940	0	0	0	0
OR2AP1	0	0	0	0
OR6C4	0	0	0	0
OR6C64P	0	0	0	0
OR6C68	0	0	0	0
OR6C70	0	0	0	0
OR6C2	0	0	0	0
OR6C76	0	0	0	0
PHC1P1	17	23	83	77
OR6C65	0	0	0	0
OR6C73P	0	0	0	0
OR6C66P	0	0	0	0
OR6C71P	0	0	1	0
OR6C75	0	0	0	0
OR6C7P	0	0	0	0
OR6C3	0	0	0	0
OR6C1	0	0	0	0
OR6C5P	0	0	0	0
OR6C6	0	0	0	0
OR6C72P	0	0	0	0
OR6C69P	0	0	0	0
OR6C74	0	0	0	0
OR10A7	0	0	0	0
OR10U1P	0	0	0	0
OR9R1P	0	0	0	0
OR9K2	0	0	0	0
LOC644383	3	0	0	1
OR9K1P	0	0	0	0
NEUROD4	0	0	0	0
TESPA1	0	0	0	0
MUCL1	40	44	784	794
VDAC1P5	1	0	0	4
DCD	0	0	0	0
LACRT	0	0	0	0
GLYCAM1	0	0	0	0
PPP1R1A	0	0	7	10
PDE1B	1	1	1	0
NCKAP1L	0	2	0	0
GTSF1	0	0	0	0
ITGA5	53	72	1159	1284
ZNF385A	775	968	1011	1070
GPR84	0	0	0	0
LOC102724050	1	0	0	0
RN7SL744P	0	0	0	0
MIR148B	1	1	1	1
COPZ1	1541	1990	1673	1791
RNU6-950P	0	0	0	0
NFE2	3	2	1	0
HNRNPA1	4961	6441	7444	7733
SCAT2	0	0	0	0
RN7SL390P	1	0	1	2
MIR3198-2	0	0	0	0
CBX5	7565	9467	8039	8409
SMUG1	320	386	310	304
LINC02381	4	3	0	0
FAM242C	2	2	5	7
LOC100240734	0	0	0	0
LOC100240735	0	0	0	0
FLJ12825	6	7	3	0
MIR615	2	0	1	1
HOXC6	59	60	89	98
HOXC5	12	15	10	12
HOXC4	141	182	61	66
HOXC8	42	60	1	3
HOXC9	21	40	252	230
HOXC-AS1	0	0	42	37
HOXC-AS2	0	0	0	0
MIR196A2	0	3	1	0
HOXC10	891	1125	57	55
HOXC-AS3	15	26	2	8
HOXC11	256	315	495	473
HOTAIR	88	106	209	217
HOXC12	11	14	0	0
HOXC13	343	457	672	710
HOXC13-AS	49	52	112	132
RN7SKP289	0	0	0	0
CISTR	0	0	0	0
CALCOCO1	447	508	672	654
ATP5MC2	2540	3211	3512	3662
RPL31P51	0	0	1	0
LOC100419830	0	0	1	0
LOC100652999	1	2	1	0
ATF7	618	759	823	920
NPFF	0	0	1	1
ATF7-NPFF	0	0	1	0
TARBP2	275	374	403	393
MAP3K12	144	154	297	378
PCBP2-OT1	16	8	24	17
PCBP2	8589	10407	16924	17800
PRR13	601	799	811	921
AMHR2	0	0	0	0
SP1	3599	4466	4180	4277
SP7	1	1	0	0
AAAS	690	773	516	569
MYG1	417	541	509	553
PFDN5	1796	2306	2013	2015
ESPL1	164	209	231	317
MFSD5	231	262	338	360
RARG	1059	1242	1391	1489
ITGB7	5	2	5	9
ZNF740	965	1192	1347	1389
CSAD	327	375	139	157
EIF4A1P4	1	13	18	21
HIGD1AP1	5	3	10	8
RNU6-333P	0	0	0	0
VTI1BP3	0	0	0	0
SOAT2	11	12	0	0
IGFBP6	13	14	0	3
SPRYD3	964	1250	637	672
MIR6757	0	3	6	1
TNS2	437	605	2352	2686
LOC283335	193	268	155	226
EIF4B	8500	10604	11362	12162
KRT18	43024	51997	9798	10311
MIR9898	5	5	2	1
KRT8	78403	94588	17119	18613
RPL7P41	0	0	0	0
KRT78	3	4	0	0
KRT79	1	1	0	0
KRT4	0	0	2	1
KRT3	1	0	0	0
KRT76	0	0	0	0
ARL2BPP2	0	0	0	0
KRT127P	0	0	0	0
BTBD10P1	5	13	6	6
KRT125P	0	0	0	0
LOC400036	2	0	0	0
KRT126P	0	0	0	0
KRT77	0	0	0	0
KRT1	3	1	0	0
KRT2	1	3	0	0
KRT128P	0	0	0	0
KRT73-AS1	0	0	0	0
KRT73	0	0	0	0
KRT72	0	0	0	0
KRT74	0	0	0	1
KRT71	0	0	0	0
KRT5	0	0	0	0
KRT6A	0	0	2	4
KRT6C	0	0	0	1
KRT6B	1	1	0	0
KRT75	0	0	0	0
KRT90P	0	0	0	0
KRT82	0	0	1	0
KRT84	1	0	0	1
KRT85	1	4	8	18
KRT89P	39	45	18	18
KRT83	27	37	12	17
KRT81	889	1067	8962	9547
KRT86	354	389	136	149
KRT88P	175	209	54	61
KRT87P	1	0	7	7
KRT7-AS	58	71	35	35
KRT7	93	110	102	102
LINC00592	4	4	0	0
LINC02874	10	6	1	3
KRT80	6221	7618	16017	17076
OR7E47P	1	0	0	0
SMIM41	0	1	1	0
ATG101	502	671	879	928
NR4A1AS	0	0	0	1
NR4A1	813	994	1011	1175
TAMALIN	4	1	7	11
TAMALIN-AS1	0	0	0	0
RNU6-574P	0	0	2	1
ACVR1B	640	776	942	1015
ACVRL1	1	1	0	0
ANKRD33	0	0	0	0
FIGNL2-DT	0	0	0	0
FIGNL2	2	2	0	0
TMDD1	0	0	0	0
HNRNPA3P10	81	73	47	61
SCN8A	45	50	77	64
SLC4A8	89	104	36	51
GALNT6	829	1082	1221	1339
CELA1	0	0	0	0
BIN2	0	0	0	1
SMAGP	184	205	627	698
DAZAP2	3262	3991	4445	4734
POU6F1	3	4	9	11
RNU6-199P	0	0	0	0
PHBP19	0	0	0	0
RPL35AP29	0	0	0	0
TFCP2	0	0	0	0
CSRNP2	483	627	741	783
LETMD1	347	452	1041	1051
RNU6-1273P	0	0	0	0
RNU6-87P	1	0	2	2
RNU7-39P	0	0	0	0
SLC11A2	903	1128	1320	1474
HIGD1C	0	0	0	0
METTL7A	130	145	210	230
TMPRSS12	0	0	0	0
RN7SL519P	0	0	0	0
ATF1	603	675	939	1004
RNU6-238P	1	0	1	0
RNU6-769P	0	0	0	0
DIP2B	1676	1929	3112	3256
SNORD133	438	764	864	811
LARP4	1595	2057	2281	2516
RPL26P33	1	0	0	0
FAM186A	0	0	0	0
LOC100418734	2	4	1	0
RNU6-1093P	0	0	0	0
MIR1293	0	0	0	0
LIMA1	632	737	614	638
CERS5	321	390	553	539
COX14	362	418	394	425
GPD1	2	0	0	2
SMARCD1	1049	1259	2028	2111
ASIC1	84	95	443	464
RACGAP1	478	648	1286	1350
AQP6	0	0	0	0
AQP5	0	0	0	0
LOC101927318	1	0	4	3
AQP2	0	0	0	0
LINC02395	0	0	0	0
LINC02396	0	1	2	0
FAIM2	0	0	5	7
RPL35AP28	0	0	2	1
BCDIN3D	288	352	173	174
BCDIN3D-AS1	16	21	13	7
NMTRQ-TTG6-1	1	0	2	1
NCKAP5L	361	443	935	1031
LSM6P2	0	0	0	0
TMBIM6	10138	12336	18959	20334
COX5BP5	0	0	0	0
FMNL3	99	150	352	356
PRPF40B	390	501	208	218
HIGD1AP9	0	0	1	0
PARK7P1	3	10	2	1
POLR2KP1	2	2	4	3
RNU6-834P	0	0	0	0
FAM186B	16	20	7	10
MCRS1	872	1007	1022	1081
KCNH3	17	21	25	42
LOC100335030	6	31	14	15
SPATS2	550	686	1297	1428
DNAJC22	827	987	8852	9269
C1QL4	21	18	56	56
TROAP	159	230	376	351
PRPH	146	168	13	8
LOC101927267	61	97	6	15
TUBA1C	939	1207	3855	4279
TUBA1A	623	763	729	813
TUBA1B	2248	2762	4664	5029
LMBR1L	140	135	264	262
DHH	0	0	1	0
RHEBL1	2	4	39	42
KMT2D	3812	4652	3401	3661
PRKAG1	907	1037	767	810
DDN-AS1	0	0	3	0
DDN	2	2	12	13
WNT1	0	0	0	0
RNU6-940P	0	0	0	0
WNT10B	26	15	44	39
ARF3	5032	6219	4874	5081
FKBP11	84	109	95	120
CCDC65	1	0	2	3
RPL32P27	1	4	6	7
RNU6-600P	0	0	0	0
RND1	128	139	880	965
DDX23	2442	3190	1725	1838
CACNB3	414	547	709	721
LOC390314	2	4	1	0
ADCY6-DT	2	2	1	2
MIR4701	2	4	0	1
ADCY6	1338	1707	1098	1233
TEX49	0	0	0	0
CCNT1	1403	1860	1820	1844
SNORA2B	2	2	9	3
SNORA2A	3	8	9	5
MIR1291	0	0	0	0
SNORA2C	6	14	13	9
KANSL2	512	642	373	413
OR11M1P	0	0	0	0
LALBA	0	0	0	0
OR5BS1P	0	0	0	0
OR8S1	0	0	0	0
RPS10P20	0	1	1	1
C12orf54	0	0	0	2
ANP32D	2	1	1	5
OR8T1P	0	0	0	0
OR8S21P	0	0	0	0
OR5BJ1P	0	0	0	0
OR5BT1P	0	0	0	0
OR5BK1P	0	0	0	0
ZNF641	423	602	852	896
H1-7	0	0	0	0
OR10AD1	0	0	0	0
CCDC184	2	0	3	1
LOC100533659	0	0	0	0
PHBP18	0	0	2	6
LOC100421855	0	0	0	0
ASB8	483	577	453	510
MIR6505	0	1	0	0
PFKM	552	680	1140	1212
RNU6-1203P	0	0	0	0
RPL37P19	1	1	1	0
SENP1	649	787	687	708
COL2A1	8	11	3	0
TMEM106C	1011	1238	1087	1052
VDR	657	813	687	701
HDAC7	845	1026	1199	1301
SLC48A1	336	424	256	255
RAPGEF3	25	32	105	109
ENDOU	2	0	0	0
RPAP3	797	968	681	730
LOC100127978	0	0	0	0
ADI1P3	0	0	0	0
LINC02156	0	0	0	0
MIR4494	0	0	0	0
PPIAP45	0	0	0	0
LOC105369747	0	1	0	1
PCED1B-AS1	0	0	0	0
MIR4698	0	0	0	0
IFITM3P6	0	0	0	0
PCED1B	92	87	28	43
AMIGO2	327	398	227	265
SLC38A4	0	0	0	0
MARK3P1	0	0	0	0
OR7A19P	5	7	0	0
LOC100288798	41	52	11	13
SLC38A2	7627	9312	9540	10249
SLC38A1	16973	21074	11880	12597
RPL13AP21	0	0	0	0
SCAF11	3412	4181	3233	3555
KNOP1P2	0	0	0	0
RN7SL246P	2	1	2	1
ARID2	1767	2199	1898	2023
LINC00938	325	401	232	263
LOC100128248	0	0	0	0
ANO6	666	870	1062	1212
LOC100419293	0	0	0	0
PLEKHA8P1	35	38	32	24
RNA5SP361	0	0	0	0
SSBL3P	0	0	0	0
RACGAP1P1	6	8	9	13
DBX2	0	0	0	0
NELL2	1	2	1	0
LOC100294713	0	0	0	0
ZNF75BP	0	0	0	0
TMEM117	41	53	103	106
TWF1	1015	1164	1250	1334
IRAK4	226	288	401	374
PUS7L	851	1118	1234	1342
EEF1A1P17	4	6	9	8
LOC400026	0	1	1	0
RPL21P101	0	1	1	1
ADAMTS20	3	4	0	0
LINC02461	0	0	0	0
MRPS36P5	0	0	0	0
